 hostname: first access time for the incident
cu-dialup-1005.cit.cornell.edu: Sat Jul  1 00:18:39 1995
ix-wbg-va2-26.ix.netcom.com: Sat Jul  1 00:45:45 1995
ix-wbg-va2-26.ix.netcom.com: Sat Jul  1 00:46:09 1995
207.109.29.70: Sat Jul  1 01:28:35 1995
207.246.17.94: Sat Jul  1 02:51:22 1995
215.298.34.27: Sat Jul  1 03:27:20 1995
218.198.17.86: Sat Jul  1 03:27:46 1995
222.168.34.62: Sat Jul  1 03:36:08 1995
211.197.42.60: Sat Jul  1 03:55:41 1995
214.216.28.91: Sat Jul  1 03:58:37 1995
213.140.44.17: Sat Jul  1 04:46:43 1995
216.279.26.53: Sat Jul  1 05:34:00 1995
208.269.85.25: Sat Jul  1 06:01:22 1995
217.193.30.89: Sat Jul  1 06:35:47 1995
217.299.85.40: Sat Jul  1 07:23:44 1995
208.187.12.61: Sat Jul  1 07:34:07 1995
210.141.21.56: Sat Jul  1 07:43:46 1995
212.158.34.50: Sat Jul  1 09:12:25 1995
209.257.17.63: Sat Jul  1 09:45:16 1995
217.160.92.44: Sat Jul  1 10:57:12 1995
221.299.29.52: Sat Jul  1 11:29:26 1995
ix-har5-20.ix.netcom.com: Sat Jul  1 12:25:13 1995
214.151.58.56: Sat Jul  1 13:36:12 1995
220.156.56.42: Sat Jul  1 13:42:32 1995
223.170.87.77: Sat Jul  1 15:16:37 1995
208.104.53.67: Sat Jul  1 15:26:00 1995
212.164.14.54: Sat Jul  1 16:22:29 1995
ppp-nyc-1-3.ios.com: Sat Jul  1 17:32:18 1995
ppp-nyc-1-3.ios.com: Sat Jul  1 17:32:32 1995
222.238.31.35: Sat Jul  1 18:58:11 1995
222.150.72.23: Sat Jul  1 19:28:44 1995
213.123.27.17: Sat Jul  1 19:59:26 1995
208.115.39.95: Sat Jul  1 20:01:24 1995
207.125.54.37: Sat Jul  1 20:50:10 1995
ix-akr-oh2-05.ix.netcom.com: Sat Jul  1 21:02:44 1995
baste.magibox.net: Sat Jul  1 21:22:54 1995
218.213.89.72: Sat Jul  1 21:54:35 1995
223.143.41.72: Sat Jul  1 22:33:26 1995
211.139.28.64: Sat Jul  1 23:20:24 1995
www-b1.proxy.aol.com: Sun Jul  2 00:29:42 1995
www-b1.proxy.aol.com: Sun Jul  2 00:30:19 1995
ad03-016.compuserve.com: Sun Jul  2 00:56:11 1995
210.157.58.20: Sun Jul  2 00:57:34 1995
223.125.88.95: Sun Jul  2 01:03:28 1995
blv-pm2-ip8.halcyon.com: Sun Jul  2 01:56:30 1995
220.239.56.31: Sun Jul  2 02:03:16 1995
